freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
200,10,1,71,0,,,,,161.06163459998788,162.06144903000677,162.06162849999964,162.06162849999964,,200,up,1,1.0717518999590538,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,10,2,72,3,,,,,163.1597657999955,164.15920643002028,164.1590569000109,164.1590569000109,164.8557962999912,200,up,1,0.955130000016652,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,10,3,73,5,,,,,165.14109270001063,166.14061313000275,166.14037849998567,166.14037849998567,166.83748940000078,500,down,1,1.1510772000183351,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,10,4,74,1,,,,,167.32337429997278,168.32099372998346,168.32085820002249,168.33770530001493,169.01827210001647,200,up,1,0.9954590999986976,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,10,5,75,4,,,,,169.33675050002057,170.335502729984,170.33580870000878,170.3527978999773,171.01597269997,500,down,1,0.8292506000143476,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,10,6,76,2,,,,,171.1852963999845,172.18395292997593,172.18430899997475,172.2007020000019,172.86447460000636,200,down,1,0.9677697999868542,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,11,0,77,3,,,,,173.18322000000626,174.18242843000917,174.18199760001153,174.18199760001153,174.8624222999788,200,down,1,0.9466803999966942,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,11,1,78,1,,,,,175.1479560000007,176.14687533001415,176.1467616999871,176.1640488000121,176.8440183000057,200,up,1,0.7837068000226282,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,11,2,79,4,,,,,176.96290290000616,177.96249652997358,177.96254949999275,177.96254949999275,,500,down,1,0.5566965999896638,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,11,3,80,6,,,,,178.6418086999911,179.64403572998708,179.64401360001648,179.64401360001648,,500,down,1,0.41776659997412935,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,11,4,81,2,,,,,180.30738050001673,181.29227272997377,181.29221109999344,181.3084146999754,,200,up,1,0.7157486000214703,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,11,5,82,0,,,,,182.0242304999847,183.02336142997956,183.02349990000948,183.02349990000948,,200,down,1,0.4403411999810487,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,11,6,83,5,,,,,183.6874189999653,184.67220173001988,184.67220709996764,184.68924919998972,,500,up,1,0.3355446999776177,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,12,0,84,2,,,,,185.2354839000036,186.23771472997032,186.23765939997975,186.23765939997975,186.93413219996728,200,up,1,0.8491077999933623,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,12,1,85,5,,,,,187.1170265999972,188.10207652999088,188.1021502999938,188.11864900001092,,500,up,1,0.6796996999764815,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,12,2,86,6,,,,,188.8010744000203,189.80012332997285,189.7998852999881,189.7998852999881,190.49666349997278,500,up,1,0.8268624999909662,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,12,3,87,4,,,,,190.6493707000045,191.64859353000065,191.6486555999727,191.6486555999727,192.32909020001534,500,down,1,0.7164516999619082,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,12,4,88,3,,,,,192.3809018000029,193.38038442999823,193.379963400017,193.379963400017,,200,up,1,0.8928476000437513,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,12,5,89,1,,,,,194.29614039999433,195.2952555299853,195.29540679999627,195.29540679999627,,200,down,1,0.6808628999860957,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,12,6,90,0,,,,,196.0247322000214,197.00992113002576,197.00976799998898,197.02655080001568,197.6901446999982,200,down,1,0.9053940000012517,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,13,0,91,2,,,,,197.94207469996763,198.94172583002364,198.94136609998532,198.94136609998532,199.62195960001554,200,up,1,0.7839403999969363,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,13,1,92,1,,,,,199.75462650001282,200.74026673001936,200.73931709997123,200.75582670001313,,200,down,1,0.6374591999920085,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,13,2,93,4,,,,,201.41962000000058,202.40474572998937,202.40512199996738,202.42132399999537,203.10175359999994,500,down,1,0.8806788999936543,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,13,3,94,6,,,,,203.30350560002262,204.30288392998045,204.30296250001993,204.30296250001993,,500,down,1,1.0908253000234254,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,13,4,95,5,,,,,205.41833760001464,206.4173011300154,206.4176755999797,206.43404169997666,207.09758519998286,500,down,1,0.8966597000253387,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,13,5,96,0,,,,,207.3328201000113,208.33223102998454,208.33260650001466,208.33260650001466,,200,down,1,0.8953569000004791,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,13,6,97,3,,,,,209.2477918000077,210.24642673000926,210.2465468000155,210.26347040000837,210.9275551000028,200,down,1,0.8613312999950722,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,14,0,98,2,,,,,211.14325269998517,212.12890183000127,212.12861449999036,212.1454647000064,212.82520299998578,200,down,1,0.906323799979873,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,14,1,99,4,,,,,213.061021099973,214.0595566299744,214.05960139998933,214.0761578999809,214.7567772999755,500,down,1,0.980577300011646,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,14,2,100,0,,,,,215.05869739997433,216.05781963001937,216.05765239999164,216.05765239999164,216.75502280000364,200,down,1,0.9702443000278436,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,14,3,101,5,,,,,217.05681560002267,218.05591553001432,218.05586590000894,218.05586590000894,218.752899300016,500,down,1,1.037635099957697,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,14,4,102,6,,,,,219.12212690000888,220.12110872997437,220.12077589996625,220.13700019998942,220.80155059997924,500,up,1,0.9649600000120699,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,14,5,103,3,,,,,221.102759899979,222.10199282999383,222.10200329998042,222.10200329998042,222.7823565999861,200,up,1,0.8991747000254691,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,14,6,104,1,,,,,223.01812339999015,224.01762453000993,224.01717669999925,224.01717669999925,224.71353609999642,200,up,1,0.8933501999708824,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
,,,,,,,,,,,,,,,,,,224.93342979997396,224.93342979997396,None,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
