freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,fixation.stopped,sound_1.started,key_resp_3.started,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,23.467142300039995,23.467142300039995,space,0.9356551999808289,,,,,,,,,,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,0,0,0,4,,,,,33.45201470004395,34.4509913000511,34.45136260000872,34.4509913000511,35.13071110000601,500,up,1,0.8429306000471115,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,0,1,1,6,,,,,35.330237700021826,36.33290560002206,36.31564740002504,36.31545280001592,,500,up,0,0.2171915000071749,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,0,2,2,5,,,,,36.74542330001714,37.74801130004926,37.73100510005024,37.73096700001042,38.41097890003584,500,up,0,9.623803599970415,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,0,3,3,1,,,,,47.38510480005061,48.38734000001568,48.37040430002962,48.37057240004651,,200,up,1,0.18007499998202547,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,0,4,4,2,,,,,48.76718400005484,49.769149100000504,49.752509100054155,49.75251780002145,,200,up,1,2.477965799975209,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,0,5,5,3,,,,,52.26384610001696,53.26604190003127,53.24912670002668,53.24897040001815,53.928743200027384,200,up,1,5.10003269999288,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,0,6,6,0,,,,,58.391267200000584,59.39288720005425,59.37620210005552,59.37629840004956,60.07287880004151,200,up,1,4.354567100002896,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,1,0,7,3,,,,,63.769202600000426,64.77094450005097,64.7543048000487,64.75427810003748,65.45128590002423,200,up,1,2.5054755000164732,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,1,1,8,1,,,,,67.29904420004459,68.3008066000184,68.28426860003383,68.28525620000437,,200,down,1,1.050906100019347,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,1,2,9,0,,,,,69.36636400001589,70.38295370002743,70.36535510005778,70.3656574000488,,200,up,0,0.4245729999965988,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,1,3,10,5,,,,,71.01178930001333,72.01425080001354,72.01368410004652,72.01425080001354,,500,up,0,0.05598079995252192,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
