freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,sound_1.stopped,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,29.71456140000373,29.71456140000373,space,0.8450264000566676,,,,,,,,,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,0,0,0,2,,,,,39.73085439996794,40.700450139911844,40.699323699926026,40.732062999974005,200,up,0,6.577677899971604,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,0,1,1,0,,,,,47.29332429997157,48.292273039906284,48.29213329998311,48.30848689994309,200,up,1,5.402508100029081,48.97177359997295,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,0,2,2,3,,,,,53.72007009992376,54.718874739925376,54.718676399905235,54.735377199947834,200,up,1,2.8410468000220135,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,0,3,3,6,,,,,57.5825901000062,58.58210623995401,58.58194049994927,58.58194049994927,500,up,0,3.0153845000313595,59.261650900007226,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,0,4,4,1,,,,,61.62878369993996,62.62870003990829,62.628356399945915,62.628356399945915,200,down,1,0.45116589998360723,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,0,5,5,4,,,,,63.30736049998086,64.2940370399505,64.29398499999661,64.30959520000033,500,up,1,2.5321174999698997,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,0,6,6,5,,,,,66.8567506999243,67.856037439988,67.85574809997343,67.85574809997343,500,down,1,1.9886399999959394,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,1,0,7,2,,,,,69.87089479994029,70.87038513992448,70.86932199995499,70.86932199995499,200,down,0,1.4461238000076264,71.56633739999961,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,1,1,8,5,,,,,72.33525070000906,73.33420253996738,73.33450040000025,73.35051009990275,500,down,0,1.01078920008149,74.0143543999875,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,1,2,9,1,,,,,74.37996890000068,75.3657704399433,75.36600709997583,75.3815863999771,200,down,1,1.3872427999740466,76.02816290000919,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,1,3,10,0,,,,,76.79412969993427,77.77970133998897,77.77946959994733,77.79643489990849,200,down,0,1.0787569000385702,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,1,4,11,3,,,,,78.87851619999856,79.87756403998938,79.87767379998695,79.87767379998695,200,down,0,0.6506179000716656,80.57395180000458,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,1,5,12,4,,,,,80.57395180000458,81.56054613993038,81.55904619989451,81.57606029999442,500,down,1,1.05178610002622,82.25594389997423,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,1,6,13,6,,,,,82.64131219999399,83.64155803991017,83.64048239996191,83.64048239996191,500,down,0,1.0846581000369042,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,2,0,14,5,,,,,84.78622879995964,85.77272693996784,85.77166879992001,85.78809089993592,500,down,0,1.1216018999693915,86.46893959993031,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,2,1,15,3,,,,,86.92047639994416,87.92012353995815,87.9202175999526,87.9202175999526,200,down,1,1.060639400035143,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,2,2,16,0,,,,,89.00176549993921,90.00210904001725,90.00138459994923,90.00138459994923,200,down,0,1.0881791000720114,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,2,3,17,1,,,,,91.1164751999313,92.1154470399255,92.1153357999865,92.13211819995195,200,down,1,0.6780443000607193,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,2,4,18,6,,,,,92.81515339994803,93.81415613994469,93.81439650000539,93.81439650000539,500,down,1,0.5312812000047415,94.51015349989757,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,2,5,19,4,,,,,94.51015349989757,95.49620063996409,95.49600089993328,95.51324479992036,500,down,0,0.9735851000295952,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,2,6,20,2,,,,,96.49456939997617,97.49412423998584,97.49417149997316,97.49417149997316,200,down,0,0.7751988000236452,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,3,0,21,2,,,,,98.29252879996784,99.29204423991033,99.29180849995464,99.29180849995464,200,down,1,0.5841850000433624,99.98827249999158,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,3,1,22,6,,,,,99.98827249999158,100.97414863992017,100.97343179991003,100.99015899992082,500,down,1,1.0045088999904692,101.65387899999041,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,3,2,23,1,,,,,102.00593549991027,103.00501194000245,103.00476859998889,103.00476859998889,200,down,1,0.7959974000696093,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,3,3,24,3,,,,,103.82043139997404,104.81978653997649,104.8195675999159,104.8195675999159,200,down,1,0.5579112999839708,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,3,4,25,4,,,,,105.49930899997707,106.50239854000975,106.5015054999385,106.5015054999385,500,down,0,0.9634957000380382,107.18134749995079,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,3,5,26,5,,,,,107.4839154999936,108.48343944000081,108.48300389992073,108.48300389992073,500,down,0,1.0668886000057682,109.16277619998436,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,3,6,27,0,,,,,109.5955568999052,110.58178953998723,110.58043269999325,110.59719469991978,200,down,1,1.2283975000027567,111.26098799996544,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,4,0,28,2,,,,,111.84324119996745,112.82938883998432,112.82879589998629,112.84538089996204,200,down,0,1.0107081000460312,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,4,1,29,6,,,,,113.8607632999774,114.86021524001845,114.8603764999425,114.8603764999425,500,down,0,0.6406064999755472,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,4,2,30,3,,,,,115.5397268999368,116.52563163996675,116.5252045999514,116.54160160000902,200,down,0,3.0947397999698296,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,4,3,31,5,,,,,119.63847069989424,120.63786193993874,120.63767959992401,120.63767959992401,500,down,1,0.8210518999258056,121.33460269996431,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,4,4,32,4,,,,,121.48640619998332,122.48640624000691,122.48635029990692,122.48635029990692,500,down,1,1.125932199996896,123.18295889999717,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,4,5,33,0,,,,,123.63442119990941,124.63403643991333,124.6338703999063,124.6338703999063,200,down,1,0.681697899941355,125.3144173999317,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,4,6,34,1,,,,,125.35053789999802,126.34893593993039,126.34886949998327,126.36564360000193,200,down,0,0.8593261999776587,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,5,0,35,5,,,,,127.2313792000059,128.23033453999088,128.2301002999302,128.24647219991311,500,down,0,0.4869827999500558,128.92708329996094,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,5,1,36,4,,,,,128.92708329996094,129.91234553998802,129.91232020000461,129.92853499995545,500,down,0,0.4949472000589594,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,5,2,37,6,,,,,130.59177109994926,131.5938348399708,131.59365249995608,131.59365249995608,500,down,0,0.38062940002419055,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,5,3,38,1,,,,,132.17387589998543,133.15868753995747,133.15865729993675,133.17534159997012,200,down,0,0.5643165999790654,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,5,4,39,2,,,,,133.85519169992767,134.84037913996727,134.8405181999551,134.85740699991584,200,down,1,0.4972485000034794,135.53680139989592,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,5,5,40,0,,,,,135.53680139989592,136.52246683996637,136.52206479990855,136.53886509989388,200,down,1,0.7127451000269502,137.2193193999119,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
