freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,34.534169299993664,34.534169299993664,None,,,,,,,,,,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,0,0,0,5,,,,44.551320799975656,45.519558309967394,45.51996339997277,45.553512599959504,46.19984909996856,500,up,1,2.0315501999575645,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,0,1,1,1,,,,47.584142999956384,48.58306800997234,48.58295869996073,48.60014880000381,49.28138959995704,200,down,1,1.0214276000042446,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,0,2,2,2,,,,49.63226109999232,50.631560010003156,50.63117899995996,50.63117899995996,51.328282699978445,200,down,1,1.2459074000362307,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,0,3,3,0,,,,51.896640499995556,52.896291710011425,52.89629219996277,52.89629219996277,,200,up,1,1.5559821000206284,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,0,4,4,6,,,,54.477631799993105,55.47701431000023,55.4769792999723,55.4769792999723,56.17417889996432,500,up,1,0.8496779999695718,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,0,5,5,3,,,,56.35883779998403,57.3583868099784,57.35861130000558,57.35861130000558,58.03825089999009,200,down,1,0.8354573000106029,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,0,6,6,4,,,,58.22332200000528,59.222662409982874,59.22247300000163,59.22247300000163,59.903871199989226,500,up,1,0.9685214000055566,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,1,0,7,4,,,,60.221696999971755,61.220885909959904,61.22080409998307,61.22080409998307,61.918650300009176,500,up,0,0.8006967999972403,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,1,1,8,0,,,,62.05342299997574,63.052720609976674,63.05250220000744,63.05250220000744,63.73314199998276,200,down,0,0.8662195000215434,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,1,2,9,1,,,,63.93503489997238,64.93468460997683,64.93444009998348,64.93444009998348,65.63208609999856,200,down,1,0.9524772999575362,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,1,3,10,6,,,,65.93040939996717,66.91602891000802,66.91516199999023,66.93183660000795,,500,up,1,1.0590368999983184,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,1,4,11,2,,,,67.99723689997336,68.99705071000498,68.99699959997088,68.99699959997088,69.6934123999672,200,up,1,0.8233838000451215,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,1,5,12,5,,,,69.84566029999405,70.84479800999979,70.84445679996861,70.84445679996861,71.54182899999432,500,down,1,0.633817599969916,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,1,6,13,3,,,,71.54182899999432,72.52674360996461,72.52643939998234,72.543157099979,,200,down,1,1.0366209000349045,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,2,0,14,5,,,,73.59231370000634,74.59143060997012,74.59091859997716,74.59091859997716,75.27260359999491,500,up,1,0.9547143999952823,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,2,1,15,1,,,,75.57383859995753,76.57262160999817,76.57269599998835,76.58913749997737,77.25356959999772,200,down,0,1.1438642999855801,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,2,2,16,2,,,,77.73839499999303,78.73695480996393,78.73729039996397,78.7539090999635,,200,up,1,1.1998992000008002,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,2,3,17,0,,,,79.96948929998325,80.96833990995655,80.9690513999667,80.98589229997015,81.64928289997624,200,down,1,0.8551502000191249,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,2,4,18,6,,,,81.85070549999364,82.84956841000239,82.8497469999711,82.8665090999566,,500,down,1,0.8926495999912731,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
